,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,52.651502359999995,1237.6497404402053,1274.7697630512153,52.651502359999995,52.651502359999995,1203.1999577611666,1203.1999577611666,1203.1999577611666,1203.1999577611666,1203.1999577611666,1203.1999577611666,0.0,0.0,0.0,1255.8514601211666
1,2021-02-01,52.839641777958036,898.5340936629075,933.4655847446385,52.839641777958036,52.839641777958036,862.9813185425791,862.9813185425791,862.9813185425791,862.9813185425791,862.9813185425791,862.9813185425791,0.0,0.0,0.0,915.8209603205371
2,2021-03-01,53.009574155437065,-658.334597372051,-623.9932988005244,53.009574155437065,53.009574155437065,-693.9739388305456,-693.9739388305456,-693.9739388305456,-693.9739388305456,-693.9739388305456,-693.9739388305456,0.0,0.0,0.0,-640.9643646751085
3,2021-04-01,53.19771357336028,-235.93859249168767,-200.5393385504064,53.19771357336028,53.19771357336028,-271.7389568734448,-271.7389568734448,-271.7389568734448,-271.7389568734448,-271.7389568734448,-271.7389568734448,0.0,0.0,0.0,-218.54124330008452
4,2021-05-01,53.37978397777133,42.96191551998836,77.9739304053838,53.37978397777133,53.37978397777133,7.340413716673647,7.340413716673647,7.340413716673647,7.340413716673647,7.340413716673647,7.340413716673647,0.0,0.0,0.0,60.72019769444498
5,2021-06-01,53.56792339570151,133.1347638242796,168.88382764457708,53.56792339570151,53.56792339570151,97.51088452725173,97.51088452725173,97.51088452725173,97.51088452725173,97.51088452725173,97.51088452725173,0.0,0.0,0.0,151.07880792295325
6,2021-07-01,53.74999380015007,104.55296883493826,140.990392605497,53.74999380015007,53.74999380015007,69.30333897803344,69.30333897803344,69.30333897803344,69.30333897803344,69.30333897803344,69.30333897803344,0.0,0.0,0.0,123.05333277818352
7,2021-08-01,53.938133218063044,-5.004549048760132,30.2265509292044,53.938133218063044,53.938133218063044,-41.57619184800952,-41.57619184800952,-41.57619184800952,-41.57619184800952,-41.57619184800952,-41.57619184800952,0.0,0.0,0.0,12.361941370053522
8,2021-09-01,54.126272635941405,-151.5946022048791,-116.48645278881452,54.126272635941405,54.126272635941405,-187.69376599458926,-187.69376599458926,-187.69376599458926,-187.69376599458926,-187.69376599458926,-187.69376599458926,0.0,0.0,0.0,-133.56749335864785
9,2021-10-01,54.308343040339814,-303.6216705467661,-268.6366276173959,54.308343040339814,54.308343040339814,-340.676637098463,-340.676637098463,-340.676637098463,-340.676637098463,-340.676637098463,-340.676637098463,0.0,0.0,0.0,-286.3682940581232
10,2021-11-01,54.49648245819971,-344.74730617424785,-307.76068423681795,54.49648245819971,54.49648245819971,-380.8605889240252,-380.8605889240252,-380.8605889240252,-380.8605889240252,-380.8605889240252,-380.8605889240252,0.0,0.0,0.0,-326.3641064658255
11,2021-12-01,54.678552862605244,-99.28827632532065,-63.86464300837747,54.678552862605244,54.678552862605244,-136.64115098078582,-136.64115098078582,-136.64115098078582,-136.64115098078582,-136.64115098078582,-136.64115098078582,0.0,0.0,0.0,-81.96259811818058
12,2022-01-01,54.86669228049096,1237.4268653298263,1273.1382169022847,54.86669228049096,54.86669228049096,1200.2524576079663,1200.2524576079663,1200.2524576079663,1200.2524576079663,1200.2524576079663,1200.2524576079663,0.0,0.0,0.0,1255.1191498884573
13,2022-02-01,55.0548316983663,877.2648843027114,913.6016390819749,55.0548316983663,55.0548316983663,840.0415531821271,840.0415531821271,840.0415531821271,840.0415531821271,840.0415531821271,840.0415531821271,0.0,0.0,0.0,895.0963848804935
14,2022-03-01,55.2247640758697,-653.6230234320099,-619.2741297509249,55.2247640758697,55.2247640758697,-692.4099365475184,-692.4099365475184,-692.4099365475184,-692.4099365475184,-692.4099365475184,-692.4099365475184,0.0,0.0,0.0,-637.1851724716487
15,2022-04-01,55.4129034938199,-221.52471416910427,-184.74247507855327,55.4129034938199,55.4129034938199,-258.62121339342275,-258.62121339342275,-258.62121339342275,-258.62121339342275,-258.62121339342275,-258.62121339342275,0.0,0.0,0.0,-203.20830989960285
16,2022-05-01,55.59497389828699,53.93581797249546,92.05956288020298,55.59497389828699,55.59497389828699,17.89045295869824,17.89045295869824,17.89045295869824,17.89045295869824,17.89045295869824,17.89045295869824,0.0,0.0,0.0,73.48542685698523
17,2022-06-01,55.78311331618813,138.79096009144598,173.59943657088658,55.78311331618813,55.78311331618813,101.17290233020505,101.17290233020505,101.17290233020505,101.17290233020505,101.17290233020505,101.17290233020505,0.0,0.0,0.0,156.95601564639318
18,2022-07-01,55.965183720608586,103.36315454621241,138.7608208609807,55.965183720608586,55.965183720608586,64.68784086932837,64.68784086932837,64.68784086932837,64.68784086932837,64.68784086932837,64.68784086932837,0.0,0.0,0.0,120.65302458993696
19,2022-08-01,56.15332313861183,-11.609813396667926,25.06596194740356,56.15332313861183,56.15332313861183,-50.10942900935998,-50.10942900935998,-50.10942900935998,-50.10942900935998,-50.10942900935998,-50.10942900935998,0.0,0.0,0.0,6.0438941292518535
20,2022-09-01,56.341462556578435,-158.08502068511655,-122.13402839122769,56.341462556578435,56.341462556578435,-196.2755156575479,-196.2755156575479,-196.2755156575479,-196.2755156575479,-196.2755156575479,-196.2755156575479,0.0,0.0,0.0,-139.9340531009695
